	Eprime.Level	Eprime.LevelName	Eprime.Basename	Eprime.FrameNumber	Procedure	Running	VersionPersist	LevelName	Experiment	SessionDate	SessionTime	SessionStartDateTimeUtc	RuntimeVersion	ResearcherID	Subject	Session	Group	Name	Age	Sex	Recznosc	DataFile.Basename	RandomSeed	Display.RefreshRate	proszenie	planowanie	zrozumienie	wykonanie	WordList	kobieta_S1	mezczyzna_S1	kobieta_S2	mezczyzna_S2	kobieta_S3	mezczyzna_S3	kobieta_S4	mezczyzna_S4	Cycle	Block	Sample	Instructions3.RESP	Instructions4.RESP	Instructions5.RESP	TargetTraining	TrCorrectResp	TrWaitTime	TrPosit	Prime	Target	Resp	Effect	ChoiceType	CorrectRespon	TrialType	WaitTime	Posit	Prime.OnsetDelay	Prime.OnsetTime	Prime.DurationError	Prime.PreRelease	Prime.Duration	Prime.StartTime	Prime.OffsetTime	Prime.FinishTime	Prime.TimingMode	Prime.CustomOnsetTime	Prime.CustomOffsetTime	Prime.ActionDelay	Prime.ActionTime	Prime.TargetOffsetTime	Prime.TargetOnsetTime	Prime.PendingInputMasks	Prime.OffsetDelay	Prime.OnsetToOnsetTime	TargetSlide.OnsetDelay	TargetSlide.OnsetTime	TargetSlide.DurationError	TargetSlide.RTTime	TargetSlide.ACC	TargetSlide.RT	TargetSlide.RESP	TargetSlide.CRESP	TargetSlide.OnsetToOnsetTime	RespWin.OnsetDelay	RespWin.OnsetTime	RespWin.DurationError	RespWin.RTTime	RespWin.ACC	RespWin.RT	RespWin.RESP	RespWin.CRESP	RespWin.OnsetToOnsetTime	Fixation2.OnsetDelay	Fixation2.OnsetTime	Fixation2.DurationError	Fixation2.OnsetToOnsetTime	NeutralPrimeList1	PrimeChoice	kol1	kol2	kol3	kol4	kol5	kol6	ErrorText	OverallRT	GoalRespInd1	GoalRespName1	GoalRespInd2	GoalRespName2	GoalRespInd3	GoalRespName3	GoalRespInd4	GoalRespName4	GoalRespInd5	GoalRespName5	GoalRespInd6	GoalRespName6	TBox1	TBox2	TBox3	TBox4	TBox5	TBox6	PracticeMode	BlockNumber	NextBlock0.RESP	NextBlock.RESP	StudioVersion	ExperimentVersion
13	3	TrialList2_10	1 ver1_main_procedure-3-1	13	TrialProc1	TrialList2																																1	2	1								prime_right.png	target_both.png	right	color_blue.png	Free	dl	comp	150	75	1	292983	0	-1	13	291484	292983	292983	0	0	0	0	292983	292983	292982	0	0	20	3	293033	-1	293392	0	359	l	dl	270	20	293303	0	0	0	0			-293303	9	293403	-1	160																																		
14	3	TrialList2_11	1 ver1_main_procedure-3-1	14	TrialProc1	TrialList2																																1	2	2								prime_right.png	target_both.png	right	color_green.png	Free	dl	neut	450	25	0	295374	1	-1	13	293875	295375	295375	0	0	0	0	295374	295374	295374	0	1	20	3	295424	-1	295752	0	328	l	dl	261	11	295685	0	0	0	0			-295685	12	295765	-1	460	2	prime_right.png																																
15	3	TrialList2_2	1 ver1_main_procedure-3-1	15	TrialProc1	TrialList2																																1	2	3								prime_left.png	target_left.png	left	color_orange.png	Cued	d	neut	450	75	1	298036	0	-1	13	296537	298036	298036	0	0	0	0	298036	298036	298035	0	0	20	3	298086	-1	298432	1	346	d	d	260	10	298346	0	0	0	0			-298346	13	298446	-1	460	1	prime_left.png																																
16	3	TrialList2_7	1 ver1_main_procedure-3-1	16	TrialProc1	TrialList2																																1	2	4								prime_left.png	target_both.png	left	color_yellow.png	Free	dl	comp	300	25	1	300718	0	-1	13	299218	300718	300718	0	0	0	0	300718	300718	300717	0	0	20	3	300768	-1	301264	0	496	d	dl	260	10	301028	0	0	0	0			-301028	13	301278	-1	310																																		
17	3	TrialList2_7	1 ver1_main_procedure-3-1	17	TrialProc1	TrialList2																																1	2	5								prime_left.png	target_both.png	left	color_purple.png	Free	dl	comp	150	75	1	303399	0	-1	13	301900	303399	303399	0	0	0	0	303399	303399	303398	0	0	20	3	303449	-1	303840	0	391	l	dl	260	10	303709	0	0	0	0			-303709	8	303849	-1	160																																		
18	3	TrialList2_12	1 ver1_main_procedure-3-1	18	TrialProc1	TrialList2																																1	2	6								prime_left.png	target_both.png	right	color_yellow.png	Free	dl	incomp	300	25	1	305821	0	-1	13	304321	305821	305821	0	0	0	0	305821	305821	305820	0	0	20	3	305871	-1	306184	0	313	d	dl	260	10	306131	0	0	0	0			-306131	6	306191	-1	310																																		
19	3	TrialList2_9	1 ver1_main_procedure-3-1	19	TrialProc1	TrialList2																																1	2	7								prime_right.png	target_both.png	left	color_blue.png	Free	dl	incomp	450	25	1	308312	0	-1	13	306813	308312	308312	0	0	0	0	308312	308312	308311	0	0	20	3	308362	-999999	308584	0	222	l	dl	0	0	0	0	0	0	0			0	7	308592	-1	460																																		
20	3	TrialList2_10	1 ver1_main_procedure-3-1	20	TrialProc1	TrialList2																																1	2	8								prime_right.png	target_both.png	right	color_blue.png	Free	dl	comp	450	25	0	310863	1	-1	13	309364	310864	310864	0	0	0	1	310864	310863	310863	0	1	21	3	310914	-1	311224	0	310	l	dl	260	10	311174	0	0	0	0			-311174	9	311234	-1	460																																		
21	3	TrialList2_7	1 ver1_main_procedure-3-1	21	TrialProc1	TrialList2																																1	2	9								prime_left.png	target_both.png	left	color_yellow.png	Free	dl	comp	300	75	1	313505	0	-1	13	312006	313505	313505	0	0	0	0	313505	313505	313504	0	0	20	3	313555	-1	313873	0	318	d	dl	260	10	313815	0	0	0	0			-313815	12	313885	-1	311																																		
22	3	TrialList2_3	1 ver1_main_procedure-3-1	22	TrialProc1	TrialList2																																1	2	10								prime_right.png	target_left.png	left	color_red.png	Cued	d	incomp	300	75	1	316007	0	-1	13	314507	316007	316007	0	0	0	0	316007	316007	316006	0	0	20	3	316057	-1	316425	1	368	d	d	260	10	316317	0	0	0	0			-316317	12	316437	-1	310																																		
23	3	TrialList2_12	1 ver1_main_procedure-3-1	23	TrialProc1	TrialList2																																1	2	11								prime_left.png	target_both.png	right	color_purple.png	Free	dl	incomp	150	25	1	318558	0	-1	13	317059	318558	318558	0	0	0	0	318558	318558	318557	0	0	20	3	318608	-1	318945	0	337	l	dl	260	10	318868	0	0	0	0			-318868	13	318958	-1	160																																		
24	3	TrialList2_12	1 ver1_main_procedure-3-1	24	TrialProc1	TrialList2																																1	2	12								prime_left.png	target_both.png	right	color_yellow.png	Free	dl	incomp	300	25	0	320929	1	-1	13	319430	320930	320930	0	0	0	1	320930	320929	320929	0	1	20	3	320979	-1	321345	0	366	d	dl	261	11	321240	0	0	0	0			-321240	15	321360	-1	310																																		
25	3	TrialList2_12	1 ver1_main_procedure-3-1	25	TrialProc1	TrialList2																																1	2	13								prime_left.png	target_both.png	right	color_yellow.png	Free	dl	incomp	150	25	1	323481	0	-1	13	321982	323481	323481	0	0	0	0	323481	323481	323480	0	0	20	3	323531	-1	323841	0	310	d	dl	260	10	323791	0	0	0	0			-323791	10	323851	-1	160																																		
26	3	TrialList2_7	1 ver1_main_procedure-3-1	26	TrialProc1	TrialList2																																1	2	14								prime_left.png	target_both.png	left	color_purple.png	Free	dl	comp	450	25	1	325822	0	-1	13	324323	325822	325822	0	0	0	0	325822	325822	325821	0	0	20	3	325872	-999999	326113	0	241	l	dl	0	0	0	0	0	0	0			0	9	326122	-1	461																																		
27	3	TrialList2_9	1 ver1_main_procedure-3-1	27	TrialProc1	TrialList2																																1	2	15								prime_right.png	target_both.png	left	color_red.png	Free	dl	incomp	150	75	1	328394	0	-1	13	326894	328394	328394	0	0	0	0	328394	328394	328393	0	0	20	3	328444	-1	328713	0	269	d	dl	260	10	328704	0	0	0	0			-328704	11	328724	-1	160																																		
28	3	TrialList2_11	1 ver1_main_procedure-3-1	28	TrialProc1	TrialList2																																1	2	16								prime_right.png	target_both.png	right	color_orange.png	Free	dl	neut	150	75	1	330695	0	-1	13	329196	330695	330695	0	0	0	0	330695	330695	330694	0	0	20	3	330745	-1	331057	0	312	d	dl	260	10	331005	0	0	0	0			-331005	8	331065	-1	160	2	prime_right.png																																
29	3	TrialList2_9	1 ver1_main_procedure-3-1	29	TrialProc1	TrialList2																																1	2	17								prime_right.png	target_both.png	left	color_red.png	Free	dl	incomp	150	25	1	333037	0	-1	13	331537	333037	333037	0	0	0	0	333037	333037	333036	0	0	20	3	333087	-1	333345	0	258	d	dl	0	10	333347	-999999	0	0	0			0	10	333357	-1	160																																		
30	3	TrialList2_7	1 ver1_main_procedure-3-1	30	TrialProc1	TrialList2																																1	2	18								prime_left.png	target_both.png	left	color_purple.png	Free	dl	comp	150	25	1	335328	0	-1	13	333829	335328	335328	0	0	0	0	335328	335328	335327	0	0	20	3	335378	-999999	335553	0	175	l	dl	0	0	0	0	0	0	0			0	15	335568	-1	160																																		
31	3	TrialList2_10	1 ver1_main_procedure-3-1	31	TrialProc1	TrialList2																																1	2	19								prime_right.png	target_both.png	right	color_red.png	Free	dl	comp	450	75	1	337539	0	-1	13	336040	337539	337539	0	0	0	0	337539	337539	337538	0	0	20	3	337589	-999999	337769	0	180	d	dl	0	0	0	0	0	0	0			0	10	337779	-1	461																																		
32	3	TrialList2_11	1 ver1_main_procedure-3-1	32	TrialProc1	TrialList2																																1	2	20								prime_left.png	target_both.png	right	color_green.png	Free	dl	neut	150	75	1	340051	0	-1	13	338551	340051	340051	0	0	0	0	340051	340051	340050	0	0	20	3	340101	-999999	340321	0	220	l	dl	0	0	0	0	0	0	0			0	9	340331	-1	160	1	prime_left.png																																
33	3	TrialList2_10	1 ver1_main_procedure-3-1	33	TrialProc1	TrialList2																																1	2	21								prime_right.png	target_both.png	right	color_red.png	Free	dl	comp	300	25	1	342302	0	-1	13	340803	342302	342302	0	0	0	0	342302	342302	342301	0	0	20	3	342352	-999999	342521	0	169	d	dl	0	0	0	0	0	0	0			0	10	342532	-1	310																																		
34	3	TrialList2_12	1 ver1_main_procedure-3-1	34	TrialProc1	TrialList2																																1	2	22								prime_left.png	target_both.png	right		Free	dl	incomp	450	75	0	344653	1	-1	13	343154	344654	344654	0	0	0	1	344654	344653	344653	0	1	20	3	344703	-1	0	0	0		dl	261	11	344964	0	0	0	0			1500	0	346464	-1	461																																		
35	3	TrialList2_11	1 ver1_main_procedure-3-1	35	TrialProc1	TrialList2																																1	2	23								prime_right.png	target_both.png	right	color_orange.png	Free	dl	neut	300	25	1	348736	0	-1	13	347237	348736	348736	0	0	0	0	348736	348736	348735	0	0	20	3	348786	-1	349065	0	279	d	dl	260	10	349046	0	0	0	0			-349046	10	349076	-1	310	2	prime_right.png																																
36	3	TrialList2_11	1 ver1_main_procedure-3-1	36	TrialProc1	TrialList2																																1	2	24								prime_left.png	target_both.png	right	color_orange.png	Free	dl	neut	450	25	1	351197	0	-1	13	349698	351197	351197	0	0	0	0	351197	351197	351196	0	0	20	3	351247	-999999	351465	0	218	d	dl	0	0	0	0	0	0	0			0	11	351477	-1	461	1	prime_left.png																																
37	3	TrialList2_1	1 ver1_main_procedure-3-1	37	TrialProc1	TrialList2																																1	2	25								prime_left.png	target_left.png	left		Cued	d	comp	300	75	1	353749	0	-1	13	352250	353749	353749	0	0	0	0	353749	353749	353748	0	0	20	3	353799	-999999	353985	0	186	l	d	0	0	0	0	0	0	0			0	13	353999	-1	310																																		
38	3	TrialList2_8	1 ver1_main_procedure-3-1	38	TrialProc1	TrialList2																																1	2	26								prime_right.png	target_both.png	left	color_green.png	Free	dl	neut	450	25	1	356120	0	-1	13	354621	356120	356120	0	0	0	0	356120	356120	356119	0	0	20	3	356170	-1	356513	0	343	l	dl	260	10	356430	1	0	0	0			-356430	6	356520	-1	461	2	prime_right.png																																
39	3	TrialList2_8	1 ver1_main_procedure-3-1	39	TrialProc1	TrialList2																																1	2	27								prime_left.png	target_both.png	left	color_orange.png	Free	dl	neut	450	75	1	358792	0	-1	13	357292	358792	358792	0	0	0	0	358792	358792	358791	0	0	20	3	358842	-1	359289	0	447	d	dl	260	10	359102	0	0	0	0			-359102	12	359302	-1	460	1	prime_left.png																																
40	3	TrialList2_9	1 ver1_main_procedure-3-1	40	TrialProc1	TrialList2																																1	2	28								prime_right.png	target_both.png	left	color_blue.png	Free	dl	incomp	300	75	0	361573	0	-1	13	360074	361573	361573	0	0	0	0	361573	361573	361573	0	0	20	3	361623	-1	361889	0	266	l	dl	260	10	361883	1	0	0	0			-361883	13	361903	-1	311																																		
41	3	TrialList2_11	1 ver1_main_procedure-3-1	41	TrialProc1	TrialList2																																1	2	29								prime_right.png	target_both.png	right	color_green.png	Free	dl	neut	450	25	1	364025	0	-1	13	362527	364025	364025	0	0	0	0	364025	364025	364024	0	0	20	3	364075	-1	364457	0	382	l	dl	260	10	364335	0	0	0	0			-364335	7	364465	-1	460	2	prime_right.png																																
42	3	TrialList2_11	1 ver1_main_procedure-3-1	42	TrialProc1	TrialList2																																1	2	30								prime_left.png	target_both.png	right	color_orange.png	Free	dl	neut	450	25	1	366736	0	-1	13	365237	366736	366736	0	0	0	0	366736	366736	366735	0	0	20	3	366786	-1	367089	0	303	d	dl	260	10	367046	1	0	0	0			-367046	7	367097	-1	460	1	prime_left.png																																
43	3	TrialList2_5	1 ver1_main_procedure-3-1	43	TrialProc1	TrialList2																																1	2	31								prime_right.png	target_right.png	right	color_green.png	Cued	l	neut	450	75	1	369368	0	-1	13	367869	369368	369368	0	0	0	0	369368	369368	369367	0	0	20	3	369418	-999999	369577	1	159	l	l	0	0	0	0	0	0	0			0	10	369588	-1	460	2	prime_right.png																																
44	3	TrialList2_12	1 ver1_main_procedure-3-1	44	TrialProc1	TrialList2																																1	2	32								prime_left.png	target_both.png	right	color_purple.png	Free	dl	incomp	300	75	1	371859	0	-1	13	370360	371859	371859	0	0	0	0	371859	371859	371858	0	0	20	3	371909	-1	372241	0	332	l	dl	260	10	372169	1	0	0	0			-372169	8	372250	-1	310																																		
45	3	TrialList2_8	1 ver1_main_procedure-3-1	45	TrialProc1	TrialList2																																1	2	33								prime_left.png	target_both.png	left	color_orange.png	Free	dl	neut	150	25	1	374371	0	-1	13	372872	374371	374371	0	0	0	0	374371	374371	374370	0	0	20	3	374421	-999999	374649	0	228	d	dl	0	0	0	0	0	0	0			0	11	374661	-1	160	1	prime_left.png																																
46	3	TrialList2_10	1 ver1_main_procedure-3-1	46	TrialProc1	TrialList2																																1	2	34								prime_right.png	target_both.png	right	color_red.png	Free	dl	comp	450	75	1	376632	0	-1	13	375133	376632	376632	0	0	0	0	376632	376632	376631	0	0	20	3	376682	-999999	376929	0	247	d	dl	0	0	0	0	0	0	0			0	12	376942	-1	461																																		
47	3	TrialList2_9	1 ver1_main_procedure-3-1	47	TrialProc1	TrialList2																																1	2	35								prime_right.png	target_both.png	left	color_blue.png	Free	dl	incomp	150	75	1	379214	0	-1	13	377714	379214	379214	0	0	0	0	379214	379214	379213	0	0	20	3	379264	-999999	379489	0	225	l	dl	0	0	0	0	0	0	0			0	14	379504	-1	160																																		
48	3	TrialList2_1	1 ver1_main_procedure-3-1	48	TrialProc1	TrialList2																																1	2	36								prime_left.png	target_left.png	left		Cued	d	comp	150	25	1	381475	0	-1	13	379976	381475	381475	0	0	0	0	381475	381475	381474	0	0	20	3	381525	-1	381801	0	276	l	d	260	10	381785	0	0	0	0			-381785	13	381815	-1	160																																		
49	3	TrialList2_7	1 ver1_main_procedure-3-1	49	TrialProc1	TrialList2																																1	2	37								prime_left.png	target_both.png	left	color_yellow.png	Free	dl	comp	300	25	1	383786	1	-1	13	382287	383787	383787	0	0	0	1	383787	383786	383785	0	1	20	3	383836	-1	384145	0	309	d	dl	261	11	384097	0	0	0	0			-384097	11	384157	-1	310																																		
50	3	TrialList2_5	1 ver1_main_procedure-3-1	50	TrialProc1	TrialList2																																1	2	38								prime_right.png	target_right.png	right	color_green.png	Cued	l	neut	300	25	1	386278	0	-1	13	384779	386278	386278	0	0	0	0	386278	386278	386277	0	0	20	3	386328	-999999	386569	1	241	l	l	0	0	0	0	0	0	0			0	8	386578	-1	310	2	prime_right.png																																
51	3	TrialList2_8	1 ver1_main_procedure-3-1	51	TrialProc1	TrialList2																																1	2	39								prime_left.png	target_both.png	left		Free	dl	neut	300	75	1	388699	1	-1	13	387200	388700	388700	0	0	0	0	388699	388699	388698	0	1	20	3	388749	-1	0	0	0		dl	260	10	389009	1	0	0	0			1501	1	390510	-1	310	1	prime_left.png																																
52	3	TrialList2_10	1 ver1_main_procedure-3-1	52	TrialProc1	TrialList2																																1	2	40								prime_right.png	target_both.png	right	color_red.png	Free	dl	comp	150	25	1	392632	0	-1	13	391132	392632	392632	0	0	0	0	392632	392632	392631	0	0	20	3	392682	-1	393066	0	384	d	dl	260	10	392942	0	0	0	0			-392942	6	393072	-1	160																																		
53	3	TrialList2_10	1 ver1_main_procedure-3-1	53	TrialProc1	TrialList2																																1	2	41								prime_right.png	target_both.png	right	color_blue.png	Free	dl	comp	450	25	1	395043	0	-1	13	393544	395043	395043	0	0	0	0	395043	395043	395042	0	0	20	3	395093	-1	395426	0	333	l	dl	260	10	395353	0	0	0	0			-395353	7	395433	-1	460																																		
54	3	TrialList2_4	1 ver1_main_procedure-3-1	54	TrialProc1	TrialList2																																1	2	42								prime_right.png	target_right.png	right	color_blue.png	Cued	l	comp	150	25	1	397705	0	-1	13	396205	397705	397705	0	0	0	0	397705	397705	397704	0	0	20	3	397755	-1	398082	1	327	l	l	260	10	398015	0	0	0	0			-398015	13	398095	-1	160																																		
55	3	TrialList2_10	1 ver1_main_procedure-3-1	55	TrialProc1	TrialList2																																1	2	43								prime_right.png	target_both.png	right	color_red.png	Free	dl	comp	150	75	1	400066	0	-1	13	398567	400066	400066	0	0	0	0	400066	400066	400065	0	0	20	3	400116	-1	400546	0	430	d	dl	260	10	400376	0	0	0	0			-400376	10	400556	-1	160																																		
56	3	TrialList2_12	1 ver1_main_procedure-3-1	56	TrialProc1	TrialList2																																1	2	44								prime_left.png	target_both.png	right	color_purple.png	Free	dl	incomp	450	75	0	402527	1	-1	13	401028	402528	402528	0	0	0	0	402527	402527	402527	0	1	20	3	402577	-1	402874	0	297	l	dl	261	11	402838	0	0	0	0			-402838	14	402888	-1	460																																		
57	3	TrialList2_6	1 ver1_main_procedure-3-1	57	TrialProc1	TrialList2																																1	2	45								prime_left.png	target_right.png	right	color_purple.png	Cued	l	incomp	300	75	1	405159	0	-1	13	403660	405159	405159	0	0	0	0	405159	405159	405158	0	0	20	3	405209	-1	405562	1	353	l	l	260	10	405469	0	0	0	0			-405469	7	405569	-1	310																																		
58	3	TrialList2_9	1 ver1_main_procedure-3-1	58	TrialProc1	TrialList2																																1	2	46								prime_right.png	target_both.png	left	color_blue.png	Free	dl	incomp	450	25	1	407690	1	-1	13	406191	407691	407691	0	0	0	0	407690	407690	407689	0	1	20	3	407740	-1	408138	0	398	l	dl	261	11	408001	0	0	0	0			-408001	13	408151	-1	460																																		
59	3	TrialList2_11	1 ver1_main_procedure-3-1	59	TrialProc1	TrialList2																																1	2	47								prime_right.png	target_both.png	right	color_green.png	Free	dl	neut	450	75	1	410422	0	-1	13	408923	410422	410422	0	0	0	0	410422	410422	410421	0	0	20	3	410472	-1	410738	0	266	l	dl	260	10	410732	0	0	0	0			-410732	14	410752	-1	460	2	prime_right.png																																
60	3	TrialList2_7	1 ver1_main_procedure-3-1	60	TrialProc1	TrialList2																																1	2	48								prime_left.png	target_both.png	left	color_purple.png	Free	dl	comp	450	25	1	413024	0	-1	13	411524	413024	413024	0	0	0	0	413024	413024	413023	0	0	20	3	413074	-1	413410	0	336	l	dl	260	10	413334	0	0	0	0			-413334	14	413424	-1	460																																		
61	3	TrialList2_3	1 ver1_main_procedure-3-1	61	TrialProc1	TrialList2																																1	2	49								prime_right.png	target_left.png	left		Cued	d	incomp	300	25	1	415695	0	-1	13	414196	415695	415695	0	0	0	0	415695	415695	415694	0	0	20	3	415745	-1	416058	0	313	l	d	260	10	416005	0	0	0	0			-416005	7	416065	-1	310																																		
62	3	TrialList2_6	1 ver1_main_procedure-3-1	62	TrialProc1	TrialList2																																1	2	50								prime_left.png	target_right.png	right	color_purple.png	Cued	l	incomp	150	25	1	418187	0	-1	13	416687	418187	418187	0	0	0	0	418187	418187	418186	0	0	20	3	418237	-999999	418482	1	245	l	l	0	0	0	0	0	0	0			0	14	418497	-1	160																																		
63	3	TrialList2_2	1 ver1_main_procedure-3-1	63	TrialProc1	TrialList2																																1	2	51								prime_left.png	target_left.png	left	color_orange.png	Cued	d	neut	150	25	1	420468	0	-1	13	418969	420468	420468	0	0	0	0	420468	420468	420467	0	0	20	3	420518	-1	420794	1	276	d	d	260	10	420778	0	0	0	0			-420778	13	420808	-1	160	1	prime_left.png																																
64	3	TrialList2_8	1 ver1_main_procedure-3-1	64	TrialProc1	TrialList2																																1	2	52								prime_right.png	target_both.png	left	color_orange.png	Free	dl	neut	450	25	1	422779	0	-1	13	421280	422779	422779	0	0	0	0	422779	422779	422778	0	0	20	3	422829	-1	423378	0	549	d	dl	260	10	423089	1	0	0	0			-423089	11	423390	-1	460	2	prime_right.png																																
65	3	TrialList2_9	1 ver1_main_procedure-3-1	65	TrialProc1	TrialList2																																1	2	53								prime_right.png	target_both.png	left	color_red.png	Free	dl	incomp	300	75	1	425661	0	-1	13	424162	425661	425661	0	0	0	0	425661	425661	425660	0	0	20	3	425711	-1	426194	0	483	d	dl	260	10	425971	0	0	0	0			-425971	6	426201	-1	310																																		
66	3	TrialList2_8	1 ver1_main_procedure-3-1	66	TrialProc1	TrialList2																																1	2	54								prime_left.png	target_both.png	left	color_green.png	Free	dl	neut	300	25	1	428323	0	-1	13	426823	428323	428323	0	0	0	0	428323	428323	428322	0	0	19	4	428373	-1	428642	0	269	l	dl	260	10	428633	0	0	0	0			-428633	10	428653	-1	310	1	prime_left.png																																
67	3	TrialList2_7	1 ver1_main_procedure-3-1	67	TrialProc1	TrialList2																																1	2	55								prime_left.png	target_both.png	left	color_yellow.png	Free	dl	comp	300	25	1	430774	0	-1	13	429275	430774	430774	0	0	0	0	430774	430774	430773	0	0	20	3	430824	-999999	431066	0	242	d	dl	0	0	0	0	0	0	0			0	7	431074	-1	310																																		
68	3	TrialList2_6	1 ver1_main_procedure-3-1	68	TrialProc1	TrialList2																																1	2	56								prime_left.png	target_right.png	right	color_purple.png	Cued	l	incomp	450	75	1	433195	1	-1	13	431696	433196	433196	0	0	0	0	433195	433195	433194	0	1	20	3	433245	-999999	433490	1	245	l	l	0	0	0	0	0	0	0			0	15	433506	-1	460																																		
69	3	TrialList2_12	1 ver1_main_procedure-3-1	69	TrialProc1	TrialList2																																1	2	57								prime_left.png	target_both.png	right	color_yellow.png	Free	dl	incomp	300	75	1	435777	0	-1	13	434278	435777	435777	0	0	0	0	435777	435777	435776	0	0	20	3	435827	-1	436090	0	263	d	dl	260	10	436087	0	0	0	0			-436087	6	436097	-1	310																																		
70	3	TrialList2_4	1 ver1_main_procedure-3-1	70	TrialProc1	TrialList2																																1	2	58								prime_right.png	target_right.png	right	color_blue.png	Cued	l	comp	150	25	1	438218	0	-1	13	436719	438218	438219	0	0	0	0	438218	438218	438217	0	0	20	3	438268	-1	438562	1	294	l	l	260	10	438528	1	0	0	0			-438528	5	438568	-1	161																																		
71	3	TrialList2_4	1 ver1_main_procedure-3-1	71	TrialProc1	TrialList2																																1	2	59								prime_right.png	target_right.png	right		Cued	l	comp	450	25	1	440540	0	-1	13	439040	440540	440540	0	0	0	0	440540	440540	440539	0	0	20	3	440590	-999999	440826	0	236	d	l	0	0	0	0	0	0	0			0	13	440840	-1	460																																		
